Grade,Dno,Dname,Sno,Sname,Stcount,Passpc
5,10,CLAY,201,ORANGE PARK ELEMENTARY SCHOOL,66,89
5,10,CLAY,232,GROVE PARK ELEMENTARY SCHOOL,67,37
5,10,CLAY,241,W E CHERRY ELEMENTARY SCHOOL,86,51
5,10,CLAY,261,DOCTORS INLET ELEMENTARY SCHOOL,113,65
5,10,CLAY,271,MIDDLEBURG ELEMENTARY SCHOOL,84,52
5,10,CLAY,301,KEYSTONE HEIGHTS ELEMENTARY,101,37
5,10,CLAY,331,S BRYAN JENNINGS ELEMENTARY SCHOOL,63,56
5,10,CLAY,352,LAKESIDE ELEMENTARY SCHOOL,105,72
5,10,CLAY,381,MONTCLAIR ELEMENTARY SCHOOL,79,49
5,10,CLAY,401,RIDGEVIEW ELEMENTARY SCHOOL,68,62
5,10,CLAY,411,CLAY HILL ELEMENTARY SCHOOL,66,45
5,10,CLAY,451,LAKE ASBURY ELEMENTARY SCHOOL,107,77
5,10,CLAY,471,ROBERT M. PATERSON ELEMENTARY,129,62
5,10,CLAY,491,J.L. WILKINSON ELEMENTARY SCHOOL,100,54
5,10,CLAY,501,TYNES ELEMENTARY SCHOOL,116,59
5,10,CLAY,511,MCRAE ELEMENTARY SCHOOL,55,58
5,10,CLAY,521,FLEMING ISLAND ELEMENTARY SCHOOL,113,84
5,10,CLAY,531,THUNDERBOLT ELEMENTARY SCHOOL,170,64
5,10,CLAY,541,RIDEOUT ELEMENTARY SCHOOL,94,59
5,10,CLAY,571,SWIMMING PEN CREEK ELEMENTARY SCHOO,68,69
5,10,CLAY,591,ARGYLE ELEMENTARY SCHOOL,101,64
5,10,CLAY,601,COPPERGATE ELEMENTARY SCHOOL,93,56
5,10,CLAY,621,OAKLEAF VILLAGE ELEMENTARY SCHOOL,150,67
5,10,CLAY,631,SHADOWLAWN ELEMENTARY SCHOOL,104,63
5,10,CLAY,651,PLANTATION OAKS ELEMENTARY SCHOOL,156,72
5,10,CLAY,7023,CLAY VIRTUAL ACADEMY,16,19
5,11,COLLIER,51,EVERGLADES CITY SCHOOL,10,20
5,11,COLLIER,121,LAKE PARK ELEMENTARY SCHOOL,82,55
5,11,COLLIER,131,TOMMIE BARFIELD ELEMENTARY SCHOOL,98,70
5,11,COLLIER,141,SHADOWLAWN ELEMENTARY SCHOOL,90,58
5,11,COLLIER,161,PINECREST ELEMENTARY SCHOOL,87,16
5,11,COLLIER,171,SEA GATE ELEMENTARY SCHOOL,155,89
5,11,COLLIER,181,HIGHLANDS ELEMENTARY SCHOOL,86,27
5,11,COLLIER,191,LAKE TRAFFORD ELEMENTARY SCHOOL,101,32
5,11,COLLIER,201,AVALON ELEMENTARY SCHOOL,82,34
5,11,COLLIER,221,POINCIANA ELEMENTARY SCHOOL,123,40
5,11,COLLIER,231,GOLDEN GATE ELEMENTARY SCHOOL,138,33
5,11,COLLIER,241,NAPLES PARK ELEMENTARY SCHOOL,113,53
5,11,COLLIER,331,BIG CYPRESS ELEMENTARY SCHOOL,150,51
5,11,COLLIER,341,VILLAGE OAKS ELEMENTARY SCHOOL,69,20
5,11,COLLIER,351,GOLDEN TERRACE ELEMENTARY SCHOOL,149,50
5,11,COLLIER,371,VINEYARDS ELEMENTARY SCHOOL,124,66
5,11,COLLIER,381,LELY ELEMENTARY SCHOOL,101,45
5,11,COLLIER,391,LAUREL OAK ELEMENTARY SCHOOL,155,71
5,11,COLLIER,421,MANATEE ELEMENTARY SCHOOL,133,45
5,11,COLLIER,431,PELICAN MARSH ELEMENTARY SCHOOL,150,76
5,11,COLLIER,441,CORKSCREW ELEMENTARY SCHOOL,125,71
5,11,COLLIER,451,OSCEOLA ELEMENTARY SCHOOL,112,71
5,11,COLLIER,461,CALUSA PARK ELEMENTARY SCHOOL,165,57
5,11,COLLIER,471,SABAL PALM ELEMENTARY SCHOOL,95,46
5,11,COLLIER,511,ESTATES ELEMENTARY SCHOOL,90,61
5,11,COLLIER,521,VETERANS MEMORIAL ELEMENTARY SCHOOL,136,71
5,11,COLLIER,531,MIKE DAVIS ELEMENTARY SCHOOL,139,38
5,11,COLLIER,541,PALMETTO ELEMENTARY SCHOOL,77,43
5,11,COLLIER,551,PARKSIDE ELEMENTARY SCHOOL,98,42
5,11,COLLIER,631,EDEN PARK ELEMENTARY SCHOOL,102,41
5,11,COLLIER,9007,NEW BEGINNINGS IMMOKALEE,2,-1
5,11,COLLIER,9010,NEW BEGINNINGS - NAPLES,8,-1
5,11,COLLIER,9021,IMMOKALEE COMMUNITY SCHOOL,35,43
5,11,COLLIER,9034,GULF COAST ACADEMY CHARTER,23,48
5,12,COLUMBIA,71,MELROSE PARK ELEMENTARY SCHOOL,67,37
5,12,COLUMBIA,81,EASTSIDE ELEMENTARY SCHOOL,95,72
5,12,COLUMBIA,91,FIVE POINTS ELEMENTARY SCHOOL,74,59
5,12,COLUMBIA,121,FORT WHITE ELEMENTARY SCHOOL,87,59
5,12,COLUMBIA,141,SUMMERS ELEMENTARY SCHOOL,88,59
5,12,COLUMBIA,161,NIBLACK ELEMENTARY SCHOOL,44,36
5,12,COLUMBIA,221,CHALLENGE LEARNING CENTER,2,-1
5,12,COLUMBIA,261,COLUMBIA CITY ELEMENTARY SCHOOL,80,64
5,12,COLUMBIA,271,WESTSIDE ELEMENTARY SCHOOL,107,70
5,12,COLUMBIA,291,PINEMOUNT ELEMENTARY SCHOOL,62,56
5,12,COLUMBIA,400,SHINING STAR ACADEMY OF THE ARTS,27,41
5,12,COLUMBIA,402,BELMONT ACADEMY,24,92
5,13,MIAMI DADE,41,AIR BASE ELEMENTARY SCHOOL,116,61
5,13,MIAMI DADE,70,CORAL REEF MONTESSORI ACADEMY CHART,40,50
5,13,MIAMI DADE,71,EUGENIA B. THOMAS K-8 CENTER,195,65
5,13,MIAMI DADE,72,SUMMERVILLE ADVANTAGE ACADEMY,71,41
5,13,MIAMI DADE,73,MANDARIN LAKES K-8 ACADEMY,127,28
5,13,MIAMI DADE,81,LENORA BRAYNON SMITH ELEMENTARY,47,23
5,13,MIAMI DADE,91,BOB GRAHAM EDUCATION CENTER,218,58
5,13,MIAMI DADE,92,NORMAN S. EDELCUP/SUNNY ISLES BEACH,213,65
5,13,MIAMI DADE,100,MATER ACADEMY,128,74
5,13,MIAMI DADE,101,ARCOLA LAKE ELEMENTARY SCHOOL,67,43
5,13,MIAMI DADE,102,MIAMI COMMUNITY CHARTER SCHOOL,71,31
5,13,MIAMI DADE,111,MAYA ANGELOU ELEMENTARY SCHOOL,95,36
5,13,MIAMI DADE,121,AUBURNDALE ELEMENTARY SCHOOL,139,45
5,13,MIAMI DADE,122,DR. ROLANDO ESPINOSA K-8 CENTER,203,53
5,13,MIAMI DADE,125,NORMA BUTLER BOSSARD ELEMENTARY SCH,224,53
5,13,MIAMI DADE,201,BANYAN ELEMENTARY SCHOOL,62,60
5,13,MIAMI DADE,211,DR. MANUEL C. BARREIRO ELEMENTARY S,169,63
5,13,MIAMI DADE,231,AVENTURA WATERWAYS K-8 CENTER,203,59
5,13,MIAMI DADE,241,RUTH K. BROAD BAY HARBOR K-8 CENTER,166,67
5,13,MIAMI DADE,251,ETHEL KOGER BECKHAM ELEMENTARY,117,80
5,13,MIAMI DADE,261,BEL-AIRE ELEMENTARY SCHOOL,59,44
5,13,MIAMI DADE,271,BENT TREE ELEMENTARY SCHOOL,92,60
5,13,MIAMI DADE,311,GOULDS ELEMENTARY SCHOOL,106,27
5,13,MIAMI DADE,312,MATER GARDENS ACADEMY,94,76
5,13,MIAMI DADE,321,BISCAYNE ELEMENTARY SCHOOL,96,49
5,13,MIAMI DADE,332,SOMERSET ACADEMY (SILVER PALMS),69,32
5,13,MIAMI DADE,339,SOMERSET ACAD CHARTER ELEM SCHOOL S,54,57
5,13,MIAMI DADE,341,ARCHCREEK ELEMENTARY SCHOOL,101,35
5,13,MIAMI DADE,342,PINECREST ACADEMY (SOUTH CAMPUS),99,75
5,13,MIAMI DADE,361,BISCAYNE GARDENS ELEMENTARY,83,35
5,13,MIAMI DADE,400,RENAISSANCE ELEMENTARY CHARTER SCHO,154,81
5,13,MIAMI DADE,401,VAN E. BLANTON ELEMENTARY SCHOOL,80,51
5,13,MIAMI DADE,410,ACADEMIR CHARTER SCHOOL WEST,64,59
5,13,MIAMI DADE,441,BLUE LAKES ELEMENTARY SCHOOL,76,42
5,13,MIAMI DADE,451,BOWMAN ASHE/DOOLIN K-8 ACADEMY,149,51
5,13,MIAMI DADE,461,BRENTWOOD ELEMENTARY SCHOOL,98,41
5,13,MIAMI DADE,481,JAMES H. BRIGHT ELEMENTARY,123,47
5,13,MIAMI DADE,510,ARCHIMEDEAN ACADEMY,83,82
5,13,MIAMI DADE,520,SOMERSET ACADEMY CHARTER,88,69
5,13,MIAMI DADE,521,BROADMOOR ELEMENTARY SCHOOL,63,37
5,13,MIAMI DADE,561,W. J. BRYAN ELEMENTARY,103,31
5,13,MIAMI DADE,600,PINECREST PREPARATORY ACADEMY,114,79
5,13,MIAMI DADE,641,BUNCHE PARK ELEMENTARY SCHOOL,31,29
5,13,MIAMI DADE,651,CAMPBELL DRIVE K-8 CENTER,96,49
5,13,MIAMI DADE,661,CARIBBEAN ELEMENTARY SCHOOL,81,32
5,13,MIAMI DADE,671,CALUSA ELEMENTARY SCHOOL,168,79
5,13,MIAMI DADE,681,CAROL CITY ELEMENTARY SCHOOL,69,35
5,13,MIAMI DADE,721,GEORGE W. CARVER ELEMENTARY SCHOOL,83,39
5,13,MIAMI DADE,761,FIENBERG/FISHER K-8 CENTER,78,49
5,13,MIAMI DADE,771,WILLIAM A. CHAPMAN ELEM. SCHL,54,33
5,13,MIAMI DADE,801,CITRUS GROVE ELEMENTARY SCHOOL,151,31
5,13,MIAMI DADE,831,CLAUDE PEPPER ELEMENTARY SCHOOL,105,62
5,13,MIAMI DADE,841,COCONUT GROVE ELEMENTARY SCHOOL,67,63
5,13,MIAMI DADE,861,COLONIAL DRIVE ELEMENTARY SCHOOL,40,35
5,13,MIAMI DADE,881,COMSTOCK ELEMENTARY SCHOOL,84,42
5,13,MIAMI DADE,950,AVENTURA CITY OF EXCELLENCE SCHOOL,119,76
5,13,MIAMI DADE,961,CORAL GABLES PREPARATORY ACADEMY,95,72
5,13,MIAMI DADE,1001,CORAL PARK ELEMENTARY SCHOOL,169,80
5,13,MIAMI DADE,1010,THE CHARTER SCHOOL AT WATERSTONE,158,49
5,13,MIAMI DADE,1014,HIGHLY INQUISITIVE & VERSATILE PREP,59,68
5,13,MIAMI DADE,1017,MATER ACADEMY OF INTERNATIONAL STUD,46,41
5,13,MIAMI DADE,1020,YOUTH CO-OP CHARTER SCHOOL,52,79
5,13,MIAMI DADE,1041,CORAL REEF ELEMENTARY SCHOOL,145,68
5,13,MIAMI DADE,1081,CORAL TERRACE ELEMENTARY SCHOOL,74,49
5,13,MIAMI DADE,1121,CORAL WAY K-8 CENTER,156,46
5,13,MIAMI DADE,1161,CRESTVIEW ELEMENTARY SCHOOL,69,38
5,13,MIAMI DADE,1241,CUTLER RIDGE ELEMENTARY SCHOOL,148,32
5,13,MIAMI DADE,1281,CYPRESS ELEMENTARY SCHOOL,59,49
5,13,MIAMI DADE,1331,DEVON AIRE K-8 CENTER,168,61
5,13,MIAMI DADE,1361,FREDERICK R. DOUGLASS ELEMENTARY,15,27
5,13,MIAMI DADE,1371,MARJORY STONEMAN DOUGLAS ELEM,167,55
5,13,MIAMI DADE,1401,CHARLES R DREW K-8 CENTER,37,51
5,13,MIAMI DADE,1441,PAUL LAURENCE DUNBAR K-8 CENTER,55,9
5,13,MIAMI DADE,1481,JOHN G. DUPUIS ELEMENTARY SCHOOL,115,58
5,13,MIAMI DADE,1521,AMELIA EARHART ELEMENTARY SCHOOL,67,52
5,13,MIAMI DADE,1561,EARLINGTON HEIGHTS ELEM. SCHL,60,12
5,13,MIAMI DADE,1601,EDISON PARK K-8 CENTER,51,24
5,13,MIAMI DADE,1641,EMERSON ELEMENTARY SCHOOL,56,54
5,13,MIAMI DADE,1681,LILLIE C. EVANS K-8 CENTER,48,46
5,13,MIAMI DADE,1691,CHRISTINA M. EVE ELEM. SCHOOL,109,64
5,13,MIAMI DADE,1721,EVERGLADES K-8 CENTER,112,43
5,13,MIAMI DADE,1761,DAVID FAIRCHILD ELEMENTARY SCHOOL,88,69
5,13,MIAMI DADE,1801,FAIRLAWN ELEMENTARY SCHOOL,116,46
5,13,MIAMI DADE,1811,DANTE B. FASCELL ELEM. SCHOOL,82,67
5,13,MIAMI DADE,1841,FLAGAMI ELEMENTARY SCHOOL,80,53
5,13,MIAMI DADE,1881,HENRY M. FLAGLER ELEM. SCHOOL,126,45
5,13,MIAMI DADE,1921,FLAMINGO ELEMENTARY SCHOOL,122,46
5,13,MIAMI DADE,2001,FLORIDA CITY ELEMENTARY SCHOOL,104,37
5,13,MIAMI DADE,2003,BRIDGEPOINT ACADEMY SOUTH,40,75
5,13,MIAMI DADE,2006,RICHARD ALLEN LEADERSHIP ACADEMY,11,36
5,13,MIAMI DADE,2007,SOMERSET ACADEMY ELEM SCHOOL S MIAM,96,81
5,13,MIAMI DADE,2012,SOMERSET ARTS ACADEMY,69,39
5,13,MIAMI DADE,2013,BRIDGEPOINT ACADEMY GREATER MIAMI,23,57
5,13,MIAMI DADE,2021,GLORIA FLOYD ELEMENTARY SCHOOL,82,51
5,13,MIAMI DADE,2041,BENJAMIN FRANKLIN K-8 CENTER,67,18
5,13,MIAMI DADE,2060,THEODORE R. & THELMA A. GIBSON CHAR,21,29
5,13,MIAMI DADE,2081,FULFORD ELEMENTARY SCHOOL,103,40
5,13,MIAMI DADE,2111,HIALEAH GARDENS ELEMENTARY SCHOOL,146,40
5,13,MIAMI DADE,2151,JACK DAVID GORDON ELEMENTARY SCHOOL,190,52
5,13,MIAMI DADE,2161,GOLDEN GLADES ELEMENTARY SCHOOL,41,24
5,13,MIAMI DADE,2181,JOELLA GOOD ELEMENTARY SCHOOL,162,60
5,13,MIAMI DADE,2191,SPANISH LAKE ELEMENTARY SCHOOL,300,56
5,13,MIAMI DADE,2241,GRATIGNY ELEMENTARY SCHOOL,77,30
5,13,MIAMI DADE,2261,GREENGLADE ELEMENTARY SCHOOL,92,57
5,13,MIAMI DADE,2281,GREYNOLDS PARK ELEMENTARY SCHOOL,102,36
5,13,MIAMI DADE,2321,GULFSTREAM ELEMENTARY SCHOOL,60,55
5,13,MIAMI DADE,2331,CHARLES R HADLEY ELEM SCHOOL,172,56
5,13,MIAMI DADE,2341,JOE HALL ELEMENTARY SCHOOL,95,49
5,13,MIAMI DADE,2351,ENEIDA M. HARTNER ELEM. SCHOOL,78,31
5,13,MIAMI DADE,2361,HIALEAH ELEMENTARY SCHOOL,118,43
5,13,MIAMI DADE,2371,WEST HIALEAH GARDENS ELEMENTARY SCH,218,47
5,13,MIAMI DADE,2401,HIBISCUS ELEMENTARY SCHOOL,63,44
5,13,MIAMI DADE,2441,VIRGINIA A BOONE-HIGHLAND OAKS,121,58
5,13,MIAMI DADE,2501,HOLMES ELEMENTARY SCHOOL,58,28
5,13,MIAMI DADE,2511,ZORA NEALE HURSTON ELEMENTARY SCHOO,132,47
5,13,MIAMI DADE,2521,OLIVER HOOVER ELEMENTARY SCHOOL,137,66
5,13,MIAMI DADE,2541,HOWARD DRIVE ELEMENTARY SCHOOL,132,66
5,13,MIAMI DADE,2581,MADIE IVES COMMUNITY ELEMENTARY SCH,122,37
5,13,MIAMI DADE,2641,KENDALE ELEMENTARY SCHOOL,70,76
5,13,MIAMI DADE,2651,KENDALE LAKES ELEMENTARY SCHL,117,66
5,13,MIAMI DADE,2661,KENSINGTON PARK ELEMENTARY SCHOOL,194,33
5,13,MIAMI DADE,2701,KENWOOD K-8 CENTER,118,44
5,13,MIAMI DADE,2741,KEY BISCAYNE K-8 CENTER,171,65
5,13,MIAMI DADE,2781,KINLOCH PARK ELEMENTARY SCHOOL,148,48
5,13,MIAMI DADE,2801,LAKE STEVENS ELEMENTARY SCHOOL,60,53
5,13,MIAMI DADE,2821,LAKEVIEW ELEMENTARY SCHOOL,68,35
5,13,MIAMI DADE,2881,LEEWOOD K-8 CENTER,115,68
5,13,MIAMI DADE,2891,WILLIAM H. LEHMAN ELEMENTARY SCHOOL,111,70
5,13,MIAMI DADE,2901,LEISURE CITY K-8 CENTER,115,22
5,13,MIAMI DADE,2911,LINDA LENTIN K-8 CENTER,98,35
5,13,MIAMI DADE,2941,LAURA C. SAUNDERS ELEMENTARY SCHOOL,103,23
5,13,MIAMI DADE,2981,LIBERTY CITY ELEMENTARY SCHOOL,55,27
5,13,MIAMI DADE,3021,JESSE J. MCCRARY JR. ELEMENTARY SCH,96,34
5,13,MIAMI DADE,3024,FLORIDA INTERNATIONAL ELEMENTARY SC,61,15
5,13,MIAMI DADE,3025,ADVANTAGE ACADEMY SANTA FE,32,72
5,13,MIAMI DADE,3030,DORAL ACADEMY,151,66
5,13,MIAMI DADE,3034,BRIDGEPOINT ACADEMY OF VILLAGE GREE,10,50
5,13,MIAMI DADE,3035,RAMZ ACADEMY K-5 MIAMI CAMPUS,20,45
5,13,MIAMI DADE,3041,LORAH PARK ELEMENTARY SCHOOL,55,44
5,13,MIAMI DADE,3051,TOUSSAINT L'OUVERTURE ELEMENTARY,63,25
5,13,MIAMI DADE,3061,LUDLAM ELEMENTARY SCHOOL,58,50
5,13,MIAMI DADE,3100,MATER ACADEMY EAST CHARTER,58,81
5,13,MIAMI DADE,3101,FRANK CRAWFORD MARTIN K-8 CENTER,127,71
5,13,MIAMI DADE,3111,WESLEY MATTHEWS ELEMENTARY SCHOOL,81,64
5,13,MIAMI DADE,3141,MEADOWLANE ELEMENTARY SCHOOL,191,64
5,13,MIAMI DADE,3181,MELROSE ELEMENTARY SCHOOL,94,60
5,13,MIAMI DADE,3191,ADA MERRITT K-8 CENTER,59,80
5,13,MIAMI DADE,3241,MIAMI GARDENS ELEMENTARY SCHOOL,44,45
5,13,MIAMI DADE,3261,MIAMI HEIGHTS ELEMENTARY SCHOOL,178,42
5,13,MIAMI DADE,3281,MIAMI LAKES K-8 CENTER,182,53
5,13,MIAMI DADE,3301,MIAMI PARK ELEMENTARY SCHOOL,50,24
5,13,MIAMI DADE,3341,MIAMI SHORES ELEMENTARY SCHOOL,132,58
5,13,MIAMI DADE,3381,MIAMI SPRINGS ELEMENTARY SCHOOL,94,55
5,13,MIAMI DADE,3421,MARCUS A. MILAM K-8 CENTER,101,39
5,13,MIAMI DADE,3431,PHYLLIS R. MILLER ELEMENTARY SCHOOL,97,43
5,13,MIAMI DADE,3501,MORNINGSIDE K-8 ACADEMY,78,35
5,13,MIAMI DADE,3541,ROBERT RUSSA MOTON ELEMENTARY SCHOO,44,32
5,13,MIAMI DADE,3581,MYRTLE GROVE K-8 CENTER,54,35
5,13,MIAMI DADE,3600,DOWNTOWN MIAMI CHARTER SCHOOL,98,50
5,13,MIAMI DADE,3610,KEYS GATE CHARTER SCHOOL,198,48
5,13,MIAMI DADE,3621,COCONUT PALM K-8 ACADEMY,147,30
5,13,MIAMI DADE,3661,NATURAL BRIDGE ELEMENTARY SCHOOL,90,57
5,13,MIAMI DADE,3701,NORLAND ELEMENTARY SCHOOL,104,36
5,13,MIAMI DADE,3741,NORTH BEACH ELEMENTARY SCHOOL,145,73
5,13,MIAMI DADE,3781,BARBARA HAWKINS ELEMENTARY SCHOOL,51,25
5,13,MIAMI DADE,3821,NORTH COUNTY K-8 CENTER,48,44
5,13,MIAMI DADE,3861,NORTH GLADE ELEMENTARY SCHOOL,50,26
5,13,MIAMI DADE,3901,NORTH HIALEAH ELEMENTARY SCHOOL,111,39
5,13,MIAMI DADE,3941,NORTH MIAMI ELEMENTARY SCHOOL,91,29
5,13,MIAMI DADE,3981,NORTH TWIN LAKES ELEMENTARY SCHOOL,109,59
5,13,MIAMI DADE,4000,MIAMI CHILDREN'S MUSEUM CHARTER SCH,33,82
5,13,MIAMI DADE,4001,NORWOOD ELEMENTARY SCHOOL,60,55
5,13,MIAMI DADE,4012,SOMERSET ACADEMY AT SILVER PALMS,72,54
5,13,MIAMI DADE,4021,OAK GROVE ELEMENTARY SCHOOL,92,48
5,13,MIAMI DADE,4031,GATEWAY ENVIRONMENTAL K-8 LEARNING,202,35
5,13,MIAMI DADE,4061,OJUS ELEMENTARY SCHOOL,172,47
5,13,MIAMI DADE,4071,AGENORIA S PASCHAL/OLINDA ELEM SCH,49,20
5,13,MIAMI DADE,4091,OLYMPIA HEIGHTS ELEMENTARY SCHOOL,93,35
5,13,MIAMI DADE,4121,DR. ROBERT B. INGRAM/OPA-LOCKA ELEM,54,37
5,13,MIAMI DADE,4171,ORCHARD VILLA ELEMENTARY SCHOOL,45,36
5,13,MIAMI DADE,4221,PALMETTO ELEMENTARY SCHOOL,94,76
5,13,MIAMI DADE,4241,PALM LAKES ELEMENTARY SCHOOL,135,50
5,13,MIAMI DADE,4261,PALM SPRINGS ELEMENTARY SCHOOL,123,54
5,13,MIAMI DADE,4281,PALM SPRINGS NORTH ELEMENTARY SCHOO,181,51
5,13,MIAMI DADE,4301,PARKVIEW ELEMENTARY SCHOOL,59,59
5,13,MIAMI DADE,4341,PARKWAY ELEMENTARY SCHOOL,67,45
5,13,MIAMI DADE,4381,DR HENRY E PERRINE ACAD OF THE ARTS,157,52
5,13,MIAMI DADE,4391,IRVING & BEATRICE PESKOE K-8 CENTER,85,39
5,13,MIAMI DADE,4401,KELSEY L. PHARR ELEMENTARY SCHOOL,49,41
5,13,MIAMI DADE,4421,PINECREST ELEMENTARY SCHOOL,158,78
5,13,MIAMI DADE,4441,PINE LAKE ELEMENTARY SCHOOL,64,48
5,13,MIAMI DADE,4461,PINE VILLA ELEMENTARY SCHOOL,41,61
5,13,MIAMI DADE,4491,HENRY E.S. REEVES ELEM. SCHOOL,126,20
5,13,MIAMI DADE,4501,POINCIANA PARK ELEMENTARY SCHOOL,44,20
5,13,MIAMI DADE,4511,DR. GILBERT L. PORTER ELEM.,131,53
5,13,MIAMI DADE,4541,RAINBOW PARK ELEMENTARY SCHOOL,61,31
5,13,MIAMI DADE,4581,REDLAND ELEMENTARY SCHOOL,143,48
5,13,MIAMI DADE,4651,ETHEL F. BECKFORD/RICHMOND ELE,32,25
5,13,MIAMI DADE,4681,RIVERSIDE ELEM.COMMUN.SCHL.,165,45
5,13,MIAMI DADE,4691,JANE S. ROBERTS K-8 CENTER,96,54
5,13,MIAMI DADE,4721,ROCKWAY ELEMENTARY SCHOOL,85,55
5,13,MIAMI DADE,4741,ROYAL GREEN ELEMENTARY SCHOOL,92,66
5,13,MIAMI DADE,4761,ROYAL PALM ELEMENTARY SCHOOL,111,43
5,13,MIAMI DADE,4801,GERTRUDE K. EDLEMAN/SABAL PALM,107,33
5,13,MIAMI DADE,4841,SANTA CLARA ELEMENTARY SCHOOL,90,46
5,13,MIAMI DADE,4881,SCOTT LAKE ELEMENTARY SCHOOL,82,33
5,13,MIAMI DADE,4921,SEMINOLE ELEMENTARY SCHOOL,100,44
5,13,MIAMI DADE,4961,SHADOWLAWN ELEMENTARY SCHOOL,44,36
5,13,MIAMI DADE,5001,SHENANDOAH ELEMENTARY SCHOOL,168,37
5,13,MIAMI DADE,5003,SOUTH DADE MIDDLE SCHOOL,210,25
5,13,MIAMI DADE,5005,DAVID LAWRENCE JR. K-8 CENTER,178,51
5,13,MIAMI DADE,5007,LINCOLN-MARTI CHARTER SCHOOLS HIALE,44,32
5,13,MIAMI DADE,5008,SOMERSET GABLES ACADEMY,12,92
5,13,MIAMI DADE,5010,OXFORD ACADEMY OF MIAMI,18,33
5,13,MIAMI DADE,5020,BRIDGEPOINT ACADEMY INTERAMERICAN,9,-1
5,13,MIAMI DADE,5021,BEN SHEPPARD ELEMENTARY SCHOOL,170,44
5,13,MIAMI DADE,5022,BEN GAMLA CHARTER SCHL MIAMI BEACH,17,76
5,13,MIAMI DADE,5025,LINCOLN-MARTI CHARTER SCHOOL LITTLE,75,45
5,13,MIAMI DADE,5029,EXCELSIOR LANGUAGE ACADEMY OF HIALE,14,21
5,13,MIAMI DADE,5032,EXCELSIOR CHARTER ACADEMY,28,25
5,13,MIAMI DADE,5041,SILVER BLUFF ELEMENTARY SCHOOL,94,38
5,13,MIAMI DADE,5043,LINCOLN-MARTI SCHOOLS INTERNATIONAL,26,54
5,13,MIAMI DADE,5044,ACADEMY OF INTERNATIONAL EDUCATION,39,49
5,13,MIAMI DADE,5045,MATER GROVE ACADEMY,20,70
5,13,MIAMI DADE,5046,MATER BRICKELL PREPARATORY ACADEMY,20,65
5,13,MIAMI DADE,5047,MATER ACADEMY MIAMI BEACH,56,48
5,13,MIAMI DADE,5048,PINECREST ACADEMY (NORTH CAMPUS),43,84
5,13,MIAMI DADE,5049,PINECREST COVE ACADEMY,75,67
5,13,MIAMI DADE,5051,ERNEST R. GRAHAM K-8 CENTER,199,57
5,13,MIAMI DADE,5061,DR. CARLOS J. FINLAY ELEMENTARY,74,59
5,13,MIAMI DADE,5062,SOMERSET ACADEMY BAY,24,79
5,13,MIAMI DADE,5081,SKYWAY ELEMENTARY SCHOOL,38,55
5,13,MIAMI DADE,5091,SOUTH POINTE ELEMENTARY SCHOOL,83,72
5,13,MIAMI DADE,5101,JOHN I. SMITH K-8 CENTER,203,57
5,13,MIAMI DADE,5121,SNAPPER CREEK ELEMENTARY SCHOOL,73,70
5,13,MIAMI DADE,5131,N DADE CENTER FOR MODERN LANGUAGE,86,73
5,13,MIAMI DADE,5141,HUBERT O. SIBLEY K-8 CENTER,78,37
5,13,MIAMI DADE,5201,SOUTH HIALEAH ELEMENTARY SCHOOL,208,39
5,13,MIAMI DADE,5241,SOUTH MIAMI K-8 CENTER,147,60
5,13,MIAMI DADE,5281,SOUTH MIAMI HEIGHTS ELEMENTARY,91,55
5,13,MIAMI DADE,5321,SOUTHSIDE ELEMENTARY SCHOOL,114,41
5,13,MIAMI DADE,5361,SPRINGVIEW ELEMENTARY SCHOOL,63,71
5,13,MIAMI DADE,5381,E.W.F. STIRRUP ELEMENTARY SCHOOL,121,57
5,13,MIAMI DADE,5384,IMATER ACADEMY,64,64
5,13,MIAMI DADE,5401,SUNSET ELEMENTARY SCHOOL,196,85
5,13,MIAMI DADE,5410,ALPHA CHARTER OF EXCELLENCE,14,21
5,13,MIAMI DADE,5421,SUNSET PARK ELEMENTARY SCHOOL,107,57
5,13,MIAMI DADE,5431,SWEETWATER ELEMENTARY SCHOOL,137,47
5,13,MIAMI DADE,5441,SYLVANIA HEIGHTS ELEM. SCHOOL,115,39
5,13,MIAMI DADE,5481,TREASURE ISLAND ELEMENTARY SCHOOL,93,44
5,13,MIAMI DADE,5521,TROPICAL ELEMENTARY SCHOOL,56,52
5,13,MIAMI DADE,5561,FRANCES S. TUCKER ELEM. SCHOOL,55,53
5,13,MIAMI DADE,5601,TWIN LAKES ELEMENTARY SCHOOL,99,72
5,13,MIAMI DADE,5641,VILLAGE GREEN ELEMENTARY SCHOOL,66,36
5,13,MIAMI DADE,5671,VINELAND K-8 CENTER,116,68
5,13,MIAMI DADE,5711,MAE M. WALTERS ELEMENTARY SCHOOL,157,51
5,13,MIAMI DADE,5791,WEST HOMESTEAD ELEMENTARY SCHOOL,79,20
5,13,MIAMI DADE,5831,HENRY S. WEST LABORATORY SCHOOL,27,74
5,13,MIAMI DADE,5861,DR. HENRY W. MACK/WEST LITTLE RIVER,52,33
5,13,MIAMI DADE,5901,CARRIE P. MEEK/WESTVIEW K-8 CENTER,40,45
5,13,MIAMI DADE,5931,PHYLLIS WHEATLEY ELEM. SCHOOL,26,46
5,13,MIAMI DADE,5951,WHISPERING PINES ELEM. SCHOOL,114,52
